State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income
Missouri,2022,1377,954,64811
Montana,2022,1611,1005,67631
Nebraska,2022,1586,983,69597
Nevada,2022,1730,1461,72333
New Hampshire,2022,2157,1396,89992
New Jersey,2022,2553,1555,96346
New Mexico,2022,1408,955,59726
New York,2022,2355,1499,79557
North Carolina,2022,1444,1131,67481
North Dakota,2022,1638,863,71970
Ohio,2022,1381,949,65720
Oklahoma,2022,1409,937,59673
Oregon,2022,1946,1370,75657
Pennsylvania,2022,1601,1116,71798
Rhode Island,2022,2021,1254,81854
South Carolina,2022,1378,1084,64115
South Dakota,2022,1526,866,69728
Tennessee,2022,1442,1096,65254
Texas,2022,1904,1290,72284
Utah,2022,1822,1372,89168
Vermont,2022,1750,1141,73991
Virginia,2022,1919,1441,85873
Washington,2022,2227,1630,91306
West Virginia,2022,1161,795,54329
Wisconsin,2022,1545,992,70996
Wyoming,2022,1564,895,70042
Puerto Rico,2022,878,535,24112
Alabama,2023,1372,982,62212
Alaska,2023,2136,1373,86631
Arizona,2023,1751,1608,77315
Arkansas,2023,1315,933,58700
California,2023,2844,1992,95521
Colorado,2023,2289,1771,92911
Connecticut,2023,2354,1463,91665
Georgia,2023,1733,1400,74632
Delaware,2023,1747,1358,81361
District of Columbia,2023,3001,1904,108210
Florida,2023,1950,1719,73311
Hawaii,2023,2739,1940,95322
Idaho,2023,1686,1256,74942
Illinois,2023,1905,1238,80306
Indiana,2023,1359,1044,69477
Iowa,2023,1483,949,71433
Kansas,2023,1635,1036,70333
Kentucky,2023,1386,929,61118
Louisiana,2023,1564,1020,58229
Maine,2023,1688,1189,73733
Maryland,2023,2224,1651,98678
Massachusetts,2023,2629,1757,99858
Michigan,2023,1509,1101,69183
Minnesota,2023,1879,1264,85086
Mississippi,2023,1321,898,54203
Missouri,2023,1461,1019,68545
Montana,2023,1754,1083,70804
Nebraska,2023,1718,1042,74590
Nevada,2023,1876,1622,76364
New Hampshire,2023,2303,1517,96838
New Jersey,2023,2676,1667,99781
New Mexico,2023,1500,1084,62268
New York,2023,2430,1561,82095
North Carolina,2023,1578,1245,70804
North Dakota,2023,1687,916,76525
Ohio,2023,1468,1014,67769
Oklahoma,2023,1527,1020,62138
Oregon,2023,2089,1481,80160
Pennsylvania,2023,1698,1197,73824
Rhode Island,2023,2175,1365,84972
South Carolina,2023,1477,1170,67804
South Dakota,2023,1625,921,71810
Tennessee,2023,1503,1214,67631
Texas,2023,2071,1413,75780
Utah,2023,1978,1551,93421
Vermont,2023,1827,1202,81211
Virginia,2023,2032,1567,89931
Washington,2023,2396,1731,94605
West Virginia,2023,1208,850,55948
Wisconsin,2023,1629,1071,74631
Wyoming,2023,1653,1000,72415
Puerto Rico,2023,899,557,25621
