State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income,Mortgage/Income (%),Rent/Income (%)
Tennessee,2019,1264,904,56071,27.05,19.35
Texas,2019,1675,1091,64034,31.39,20.45
Vermont,2019,1606,980,63001,30.59,18.67
Utah,2019,1605,1098,75780,25.42,17.39
Virginia,2019,1792,1254,76456,28.13,19.68
Washington,2019,1951,1359,78687,29.75,20.73
West Virginia,2019,1052,727,48850,25.84,17.86
Wisconsin,2019,1412,867,64168,26.41,16.21
Wyoming,2019,1417,822,65003,26.16,15.17
Puerto Rico,2019,828,482,20474,48.53,28.25
Georgia,2019,1450,1049,61980,28.07,20.31
Idaho,2019,1306,880,60999,25.69,17.31
Hawaii,2019,2472,1651,83102,35.7,23.84
Illinois,2019,1688,1020,69187,29.28,17.69
Indiana,2019,1146,840,57603,23.87,17.5
Iowa,2019,1266,808,61691,24.63,15.72
Kansas,2019,1387,862,62087,26.81,16.66
Kentucky,2019,1179,773,52295,27.05,17.74
Louisiana,2019,1279,866,51073,30.05,20.35
Maine,2019,1387,870,58924,28.25,17.72
Maryland,2019,2015,1401,86738,27.88,19.38
Massachusetts,2019,2276,1360,85843,31.82,19.01
Michigan,2019,1285,888,59584,25.88,17.88
Minnesota,2019,1595,1016,74593,25.66,16.34
Connecticut,2019,2087,1177,78833,31.77,17.92
Florida,2019,1530,1238,59227,31.0,25.08
Alabama,2019,1172,807,51734,27.19,18.72
Alaska,2019,1882,1201,75463,29.93,19.1
Arizona,2019,1457,1101,62055,28.18,21.29
Arkansas,2019,1094,742,48952,26.82,18.19
California,2019,2421,1614,80440,36.12,24.08
Colorado,2019,1845,1369,77127,28.71,21.3
Delaware,2019,1557,1116,70176,26.62,19.08
District of Columbia,2019,2684,1603,92266,34.91,20.85
Alabama,2021,1223,861,53913,27.22,19.16
Puerto Rico,2021,823,504,22237,44.41,27.2
Arizona,2021,1544,1253,69056,26.83,21.77
Arkansas,2021,1147,820,52528,26.2,18.73
California,2021,2523,1750,84907,35.66,24.73
Colorado,2021,1962,1491,82254,28.62,21.75
Connecticut,2021,2083,1277,83771,29.84,18.29
Delaware,2021,1585,1208,71091,26.75,20.39
District of Columbia,2021,2639,1668,90088,35.15,22.22
Florida,2021,1616,1348,63062,30.75,25.65
Georgia,2021,1501,1153,66559,27.06,20.79
Hawaii,2021,2584,1774,84857,36.54,25.09
Idaho,2021,1425,1035,66474,25.72,18.68
